input_compound_id,smiles,canonical_smiles,success,error_message
2195239,CN1C[C@@H](c2cccc(c2)S(=O)(=O)NCCOCCOCCNC(=O)CCC(CCC(=O)NCCOCCOCCNS(=O)(=O)c3cccc(c3)[C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc45)(CCC(=O)NCCOCCOCCNS(=O)(=O)c6cccc(c6)[C@@H]7CN(C)Cc8c(Cl)cc(Cl)cc78)NC(=O)COCC(=O)O)c9cc(Cl)cc(Cl)c9C1,,False,number of non-H atoms 118 exceeds limit of 100 for smiles CN1C[C@@H](c2cccc(c2)S(=O)(=O)NCCOCCOCCNC(=O)CCC(CCC(=O)NCCOCCOCCNS(=O)(=O)c3cccc(c3)[C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc45)(CCC(=O)NCCOCCOCCNS(=O)(=O)c6cccc(c6)[C@@H]7CN(C)Cc8c(Cl)cc(Cl)cc78)NC(=O)COCC(=O)O)c9cc(Cl)cc(Cl)c9C1
2127795,CN1C[C@@H](c2cccc(c2)S(=O)(=O)NCCOCCOCCNC(=O)CCC(CCC(=O)NCCOCCOCCNS(=O)(=O)c3cccc(c3)[C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc45)(CCC(=O)NCCOCCOCCNS(=O)(=O)c6cccc(c6)[C@@H]7CN(C)Cc8c(Cl)cc(Cl)cc78)NC(=O)[C@H]9CCCC[C@@H]9C(=O)O)c%10cc(Cl)cc(Cl)c%10C1,,False,number of non-H atoms 121 exceeds limit of 100 for smiles CN1C[C@@H](c2cccc(c2)S(=O)(=O)NCCOCCOCCNC(=O)CCC(CCC(=O)NCCOCCOCCNS(=O)(=O)c3cccc(c3)[C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc45)(CCC(=O)NCCOCCOCCNS(=O)(=O)c6cccc(c6)[C@@H]7CN(C)Cc8c(Cl)cc(Cl)cc78)NC(=O)[C@H]9CCCC[C@@H]9C(=O)O)c%10cc(Cl)cc(Cl)c%10C1
2135563,CN1C[C@@H](c2cccc(c2)S(=O)(=O)NCCOCCOCCNC(=O)CCC(CCC(=O)NCCOCCOCCNS(=O)(=O)c3cccc(c3)[C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc45)(CCC(=O)NCCOCCOCCNS(=O)(=O)c6cccc(c6)[C@@H]7CN(C)Cc8c(Cl)cc(Cl)cc78)NC(=O)N)c9cc(Cl)cc(Cl)c9C1,,False,number of non-H atoms 113 exceeds limit of 100 for smiles CN1C[C@@H](c2cccc(c2)S(=O)(=O)NCCOCCOCCNC(=O)CCC(CCC(=O)NCCOCCOCCNS(=O)(=O)c3cccc(c3)[C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc45)(CCC(=O)NCCOCCOCCNS(=O)(=O)c6cccc(c6)[C@@H]7CN(C)Cc8c(Cl)cc(Cl)cc78)NC(=O)N)c9cc(Cl)cc(Cl)c9C1
2155245,CN(CCOCCOCCNS(=O)(=O)c1cccc(c1)[C@@H]2CN(C)Cc3c(Cl)cc(Cl)cc23)C(=O)CCC(N)(CCC(=O)N(C)CCOCCOCCNS(=O)(=O)c4cccc(c4)[C@@H]5CN(C)Cc6c(Cl)cc(Cl)cc56)CCC(=O)N(C)CCOCCOCCNS(=O)(=O)c7cccc(c7)[C@@H]8CN(C)Cc9c(Cl)cc(Cl)cc89,,False,number of non-H atoms 113 exceeds limit of 100 for smiles CN(CCOCCOCCNS(=O)(=O)c1cccc(c1)[C@@H]2CN(C)Cc3c(Cl)cc(Cl)cc23)C(=O)CCC(N)(CCC(=O)N(C)CCOCCOCCNS(=O)(=O)c4cccc(c4)[C@@H]5CN(C)Cc6c(Cl)cc(Cl)cc56)CCC(=O)N(C)CCOCCOCCNS(=O)(=O)c7cccc(c7)[C@@H]8CN(C)Cc9c(Cl)cc(Cl)cc89
2118099,CN(CCOCCOCCNC(=O)CCN(CCC(=O)NCCOCCOCCN(C)S(=O)(=O)c1cccc(c1)[C@@H]2CN(C)Cc3c(Cl)cc(Cl)cc23)CCC(=O)NCCOCCOCCN(C)S(=O)(=O)c4cccc(c4)[C@@H]5CN(C)Cc6c(Cl)cc(Cl)cc56)S(=O)(=O)c7cccc(c7)[C@@H]8CN(C)Cc9c(Cl)cc(Cl)cc89,,False,number of non-H atoms 112 exceeds limit of 100 for smiles CN(CCOCCOCCNC(=O)CCN(CCC(=O)NCCOCCOCCN(C)S(=O)(=O)c1cccc(c1)[C@@H]2CN(C)Cc3c(Cl)cc(Cl)cc23)CCC(=O)NCCOCCOCCN(C)S(=O)(=O)c4cccc(c4)[C@@H]5CN(C)Cc6c(Cl)cc(Cl)cc56)S(=O)(=O)c7cccc(c7)[C@@H]8CN(C)Cc9c(Cl)cc(Cl)cc89
2111971,CN(CCOCCOCCNS(=O)(=O)c1cccc(c1)[C@@H]2CN(C)Cc3c(Cl)cc(Cl)cc23)C(=O)CCC(CCC(=O)N(C)CCOCCOCCNS(=O)(=O)c4cccc(c4)[C@@H]5CN(C)Cc6c(Cl)cc(Cl)cc56)(CCC(=O)N(C)CCOCCOCCNS(=O)(=O)c7cccc(c7)[C@@H]8CN(C)Cc9c(Cl)cc(Cl)cc89)NC(=O)COCC(=O)O,,False,number of non-H atoms 121 exceeds limit of 100 for smiles CN(CCOCCOCCNS(=O)(=O)c1cccc(c1)[C@@H]2CN(C)Cc3c(Cl)cc(Cl)cc23)C(=O)CCC(CCC(=O)N(C)CCOCCOCCNS(=O)(=O)c4cccc(c4)[C@@H]5CN(C)Cc6c(Cl)cc(Cl)cc56)(CCC(=O)N(C)CCOCCOCCNS(=O)(=O)c7cccc(c7)[C@@H]8CN(C)Cc9c(Cl)cc(Cl)cc89)NC(=O)COCC(=O)O
2166361,CN1C[C@H](c2cccc(c2)S(=O)(=O)NCCOCCOCCOCCNC(=O)CCC(CCC(=O)NCCOCCOCCOCCNS(=O)(=O)c3cccc(c3)[C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc45)(CCC(=O)NCCOCCOCCOCCNS(=O)(=O)c6cccc(c6)[C@@H]7CN(C)Cc8c(Cl)cc(Cl)cc78)NCc9ccc(cc9)c%10ccc(Cl)cc%10)c%11cc(Cl)cc(Cl)c%11C1,,False,number of non-H atoms 133 exceeds limit of 100 for smiles CN1C[C@H](c2cccc(c2)S(=O)(=O)NCCOCCOCCOCCNC(=O)CCC(CCC(=O)NCCOCCOCCOCCNS(=O)(=O)c3cccc(c3)[C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc45)(CCC(=O)NCCOCCOCCOCCNS(=O)(=O)c6cccc(c6)[C@@H]7CN(C)Cc8c(Cl)cc(Cl)cc78)NCc9ccc(cc9)c%10ccc(Cl)cc%10)c%11cc(Cl)cc(Cl)c%11C1
2190575,CN1C[C@@H](c2cccc(c2)S(=O)(=O)NCCOCCOCCNC(=O)CCC(CCC(=O)NCCOCCOCCNS(=O)(=O)c3cccc(c3)[C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc45)(CCC(=O)NCCOCCOCCNS(=O)(=O)c6cccc(c6)[C@@H]7CN(C)Cc8c(Cl)cc(Cl)cc78)NC(=O)Cn9ccnc9)c%10cc(Cl)cc(Cl)c%10C1,,False,number of non-H atoms 118 exceeds limit of 100 for smiles CN1C[C@@H](c2cccc(c2)S(=O)(=O)NCCOCCOCCNC(=O)CCC(CCC(=O)NCCOCCOCCNS(=O)(=O)c3cccc(c3)[C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc45)(CCC(=O)NCCOCCOCCNS(=O)(=O)c6cccc(c6)[C@@H]7CN(C)Cc8c(Cl)cc(Cl)cc78)NC(=O)Cn9ccnc9)c%10cc(Cl)cc(Cl)c%10C1
2121121,NC(=N)Nc1nc(c2cccc(OCCOCCOCCOCCNC(=O)NCCOCCOCCNC(=O)CN(CCN(CC(=O)O)CC(=O)NCCOCCOCCNC(=O)NCCOCCOCCOCCOc3cccc(c3)c4nc(NC(=N)N)nc5ccc(Cl)cc45)CC(=O)O)c2)c6cc(Cl)ccc6n1,,False,number of non-H atoms 110 exceeds limit of 100 for smiles NC(=N)Nc1nc(c2cccc(OCCOCCOCCOCCNC(=O)NCCOCCOCCNC(=O)CN(CCN(CC(=O)O)CC(=O)NCCOCCOCCNC(=O)NCCOCCOCCOCCOc3cccc(c3)c4nc(NC(=N)N)nc5ccc(Cl)cc45)CC(=O)O)c2)c6cc(Cl)ccc6n1
2141939,CN(CC(=O)NCCOCCOCCNC(=O)NCCOCCOCCOCCN1CCN(CC1)c2ccc(cc2)c3nc(N=C(N)N)nc4ccc(Cl)cc34)CC(=O)NCCOCCOCCNC(=O)NCCOCCOCCOCCN5CCN(CC5)c6ccc(cc6)c7nc(N=C(N)N)nc8ccc(Cl)cc78,,False,number of non-H atoms 110 exceeds limit of 100 for smiles CN(CC(=O)NCCOCCOCCNC(=O)NCCOCCOCCOCCN1CCN(CC1)c2ccc(cc2)c3nc(N=C(N)N)nc4ccc(Cl)cc34)CC(=O)NCCOCCOCCNC(=O)NCCOCCOCCOCCN5CCN(CC5)c6ccc(cc6)c7nc(N=C(N)N)nc8ccc(Cl)cc78
